<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
GAS,20180222,97.5866,97.8527,94.0380,94.0380,605460
GAS,20180221,97.5866,100.9578,96.6107,99.3609,553510
GAS,20180213,93.4170,96.6994,93.4170,95.8123,541220
GAS,20180212,84.4568,91.8201,84.4568,91.8201,1341740
GAS,20180209,85.8762,88.7151,85.8762,85.8762,1146710
GAS,20180208,93.1508,95.7236,92.2637,92.2637,684310
GAS,20180207,95.7236,99.1835,94.6590,97.5866,708130
GAS,20180206,92.9734,97.1430,92.9734,92.9734,1054820
GAS,20180205,104.7726,106.2807,99.8932,99.8932,1082160
GAS,20180202,108.4099,110.0068,106.4582,107.3453,561430
GAS,20180201,110.5390,110.5390,105.5710,108.4099,1183240
GAS,20180131,102.0224,110.5390,101.1352,110.5390,2286340
GAS,20180130,101.1352,103.6192,99.8045,103.3531,1171560
GAS,20180129,105.4823,105.4823,102.0224,102.8208,929870
GAS,20180126,105.3935,106.4581,99.3609,103.2644,2222720
GAS,20180125,99.8045,100.5142,98.4738,100.5142,1156390
GAS,20180122,87.8279,93.9492,86.9407,93.9493,1812130
GAS,20180119,88.6264,89.6022,87.8279,87.8279,724530
GAS,20180118,87.8280,88.8038,85.8762,88.8038,1015250
GAS,20180117,91.3765,92.4411,88.6264,88.6264,1016930
GAS,20180116,91.1991,92.1750,90.3119,91.8201,1138380
GAS,20180115,89.1587,90.6669,87.4731,90.6668,968320
GAS,20180112,91.4653,91.9089,88.7151,89.1587,1049410
GAS,20180111,91.8202,92.2638,89.6910,91.5540,697400
GAS,20180110,92.2637,93.1509,91.1991,91.3766,904540
GAS,20180109,90.4894,91.7315,89.0700,90.4894,778170
GAS,20180108,88.7151,90.4007,87.8280,89.0700,730170
GAS,20180105,91.0217,91.8201,88.7151,89.0700,829840
GAS,20180104,86.9408,90.4894,86.9408,90.4894,977010
GAS,20180103,84.2794,86.7634,84.2794,86.4085,755420
GAS,20180102,86.1424,87.1182,83.3922,84.5455,1418300
GAS,20171229,87.9167,87.9167,86.3198,86.4085,721960
GAS,20171228,87.6505,88.0054,85.7875,87.5618,543780
GAS,20171227,88.7151,88.7151,86.9408,87.6505,669700
GAS,20171226,84.6342,86.4972,84.1906,86.4972,607330
GAS,20171225,82.5938,83.9245,82.5051,83.6583,313930
GAS,20171222,82.1502,83.2148,81.1744,82.5938,358360
GAS,20171221,82.0615,84.1019,81.7066,81.9728,665130
GAS,20171220,80.1985,84.2794,80.1985,81.7066,833650
GAS,20171219,81.2631,82.5051,80.1985,80.1985,775800
GAS,20171218,78.0693,82.0614,78.0693,82.0615,938560
GAS,20171215,76.1176,77.2709,76.1176,77.1821,334350
GAS,20171214,76.8273,76.8273,75.8514,76.1176,940650
GAS,20171213,77.6257,78.4241,76.6498,76.8273,972050
GAS,20171212,74.5207,77.1822,72.4803,77.1821,1353460
GAS,20171211,74.9642,76.1175,73.6335,73.8110,829330
GAS,20171208,75.8514,76.7385,74.7868,76.0288,720080
